T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🔶,xriminact/TarsChattyBasev0.2,57.47,52.22,77.78,47.99,43.79,69.46,53.6,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,?,7.24,0.0,False,91d90f5feb9c01d8279ed891c72e225356a4ca97,False,False
🔶,Undi95/Unholy-v1-12L-13B,57.47,63.57,83.75,58.08,51.09,77.27,11.07,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,37.0,True,ee25c078f08b0812d82597afa3f5e877c19a5c83,False,False
🔶,ewqr2130/7B_ppo_phiRM_2GPU_3e-7step_4000,57.46,57.25,80.24,60.06,41.48,76.32,29.42,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,cebca6863a25b48f3a03f5ea65fdbcefcb934314,False,False
🔶,PocketDoc/Dans-AdventurousWinds-7b,57.46,61.01,83.47,63.69,42.65,78.22,15.69,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,9.0,True,ddc7e4fcbbb5c666a3fe1bbe4a47b4477151b699,False,False
🔶,abhishek/autotrain-xva0j-mixtral8x7b,57.45,62.8,84.44,67.27,50.13,74.59,5.46,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,other,46.7,0.0,True,dc470b098c475a1604d55e197613e5d0bd85859f,False,False
💬,jondurbin/airoboros-33b-gpt4-1.3,57.43,63.91,85.04,58.53,45.36,78.69,13.04,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,33.0,2.0,True,f94e5249d2b998933466d42e08fa9551e3238205,False,False
🔶,Undi95/MXLewd-L2-20B,57.43,63.23,85.33,57.36,51.65,76.09,10.92,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,19.99,18.0,True,ac279478abd9ddb8d1f5adcc548be0287b963adf,False,False
🔶,uukuguy/speechless-llama2-luban-orca-platypus-13b,57.42,62.54,82.76,59.23,54.66,77.11,8.19,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,,13.02,3.0,False,908cfb670611875b52045c4bab81cff53f0279a7,False,False
💬,vicgalleorg/TruthfulQwen1.5-4B,57.41,47.1,71.32,56.04,50.6,66.85,52.54,"chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,float16,False,apache-2.0,3.95,3.0,True,e6dc5fbf051ae3be06259b28cea254e6a76d632e,False,False
💬,hfl/chinese-alpaca-2-13b,57.41,58.7,79.76,55.12,50.22,75.61,25.02,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,apache-2.0,13.0,83.0,True,3b2e3895ff83c8892ab20fb8f98754d947879186,False,False
🔶,SkunkworksAI/Mistralic-7B-1,57.4,60.84,82.29,60.8,52.38,77.03,11.07,fine-tuned on domain-specific datasets,Unknown,Original,float16,False,,7.11,26.0,False,ebf138de4fb7a57f0d187ad0ab43abd6b35bfb62,False,False
🔶,Xenon1/Zenith-7B,57.39,56.31,81.11,61.3,55.76,77.82,12.05,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,4d49920793f6c408ef75b1032e4ae66df1fae066,False,False
🔶,NovoCode/Tiger-7B-v0.1-LaserRMT-Math-5-10-15-Neural-DPO,57.36,39.42,82.58,61.63,48.16,77.19,35.18,fine-tuned on domain-specific datasets,?,Adapter,bfloat16,False,apache-2.0,7.0,0.0,False,65089a9263dc7c51a787deb6392955d78621f72f,False,False
🔶,chargoddard/llama-polyglot-13b,57.36,59.81,81.27,55.04,48.71,76.72,22.59,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,True,llama2,13.02,5.0,True,7a08a96118aa86e0405a5f980d7e40dadf86e1be,False,False
🟢,gordicaleksa/YugoGPT,57.35,58.11,81.45,60.68,36.6,76.56,30.71,pretrained,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,23.0,True,254ee66aebc46b483b1a3b4c2bfafb1d523dc18e,False,False
🔶,allenai/digital-socrates-13b,57.34,58.36,80.14,57.01,44.47,74.59,29.49,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,13.0,9.0,True,c738ee4bb61e67eebb9d196c440dcb2d99e5f906,False,False
?,TheBloke/VicUnlocked-30B-LoRA-HF,57.33,59.73,84.02,57.81,48.54,79.48,14.4,,LlamaForCausalLM,Original,float16,False,other,30.0,1.0,True,3259cb3c2a10cfb429fb51c4a76fffa049f4c44d,False,False
?,jondurbin/airoboros-33b-gpt4,57.32,63.74,84.87,58.54,47.06,77.03,12.66,,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,33.0,7.0,True,5b6bd680b1c008e52521dc8c663dbc87820da3d0,False,False
🔶,Sao10K/BrainDerp2,57.32,60.92,81.94,58.9,57.19,75.93,9.02,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,13.02,1.0,True,948ee7af94a8b092807df4becfc0a8c1cd042878,False,False
💬,TFLai/OpenOrca-Platypus2-13B-QLoRA-0.80-epoch,57.31,62.37,82.99,59.38,52.2,75.77,11.14,"chat models (RLHF, DPO, IFT, ...)",Unknown,Original,float16,False,?,13.02,0.0,False,39ae03b77b4f1d453b02468ce6bb4ddeb6526b77,False,False
🔶,adonlee/LLaMA_2_13B_SFT_v0,57.31,62.03,83.8,58.39,49.92,77.27,12.43,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,13.0,0.0,True,a6790d83337578f38d2bcd51038a779eaa8d0fac,False,False
🔶,maldv/electric-mist-7b,57.3,61.18,82.56,59.71,45.37,71.51,23.5,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,True,b224f450fa0db5e09ce96ee3b4c4bc9c2e614c84,False,False
🔶,codellama/CodeLlama-34b-Instruct-hf,57.29,54.27,76.92,55.54,44.44,74.59,37.98,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,llama2,33.74,265.0,True,bf5e5060fa30f33149efe84bbcc682001a00ab94,False,False
🔶,Open-Orca/OpenOrca-Platypus2-13B,57.28,62.8,83.15,59.39,53.08,76.24,9.02,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.0,226.0,True,e7a40134f7eb687c6ab66d445dc7251257f8d391,False,False
🔶,KoboldAI/LLaMA2-13B-Estopia,57.27,62.12,82.53,54.99,54.18,75.85,13.95,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,13.02,13.0,True,cfbf7f1372454aefb45d27504b11431828ad14f8,False,False
🔶,XuanXuanXuanXuan/Mistral-7B-Instruct-v0.1-gpt-4-80k,57.27,55.12,74.79,56.13,57.51,72.61,27.45,fine-tuned on domain-specific datasets,?,Adapter,float16,False,apache-2.0,7.0,0.0,False,0b74a57c33242b7441a9b85fbcca5d477c3584bd,False,False
💬,PulsarAI/2x-LoRA-Assemble-Nova-13B,57.26,62.63,83.24,58.64,51.88,76.95,10.24,"chat models (RLHF, DPO, IFT, ...)",Unknown,Original,float16,False,?,13.02,0.0,False,2a344b91b28ce4d0bd48b9b5a6cc87b71123eab5,False,False
🔶,ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,57.26,58.96,79.82,60.14,52.36,73.24,19.03,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,f03058e7f15c0d1c542e32c88f7813a4dac7c33f,False,False
🔶,Undi95/MLewd-ReMM-L2-Chat-20B-Inverted,57.25,61.69,85.32,58.0,53.77,75.61,9.1,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,19.99,5.0,True,b5b501b4d23ec7ab24b827f79e48b2c67e548ddb,False,False
🔶,nisten/bigdoc-c34b-instruct-tf32,57.24,54.44,76.91,55.62,44.46,74.43,37.6,fine-tuned on domain-specific datasets,?,Adapter,float16,False,cc-by-nc-3.0,34.0,0.0,False,a20a49f517dbc82705e1c67f78ef47f794777f91,False,False
💬,abacusai/Giraffe-13b-32k-v3,57.24,59.04,79.59,55.01,46.68,76.95,26.16,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,llama2,13.02,5.0,True,bbc483fc0a3b88740fd6e04a7fd0c7d98b85cd1d,False,False
💬,pankajmathur/orca_mini_v3_13b,57.24,63.14,82.35,56.52,51.81,76.48,13.12,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,other,13.0,31.0,True,72eec98f68d240a71d3da8a266917b6e754ae831,False,False
🔶,psmathur/orca_mini_v3_13b,57.24,63.14,82.35,56.52,51.81,76.48,13.12,fine-tuned on domain-specific datasets,Unknown,Original,float16,False,?,12.85,0.0,False,99904e4119575f2c1606ca1e31d288f38a9f20b5,False,False
🔶,Undi95/MLewd-Chat-v2-13B,57.23,61.86,83.81,57.0,54.51,75.77,10.46,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.0,18.0,True,f6181961a6a2f9ca534e1a8907b4a4459be6b6bd,False,False
🔶,IkariDev/Athena-v4,57.23,62.54,84.19,57.33,50.87,76.48,11.98,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,16.0,True,dde640538a44a08f6f456a2b7634e31a5d7a1245,False,True
🔶,KoboldAI/LLaMA2-13B-Estopia,57.21,62.29,82.51,55.12,54.14,75.77,13.42,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,True,cc-by-nc-4.0,13.02,13.0,True,cfbf7f1372454aefb45d27504b11431828ad14f8,False,False
🔶,Zangs3011/mistral_7b_2EPOCH_DolphinCoder,57.17,60.75,81.15,59.37,44.65,73.24,23.88,fine-tuned on domain-specific datasets,?,Adapter,bfloat16,False,apache-2.0,7.0,0.0,True,521da4841efa9eee3716294f08fd3326d271b574,False,False
🔶,uukuguy/speechless-llama2-hermes-orca-platypus-13b,57.17,60.92,83.5,59.39,54.29,75.22,9.7,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,,13.02,2.0,False,f227ad33b16726b099e35e5dc47f4db1f22665a7,False,False
💬,jondurbin/airoboros-33b-2.1,57.16,63.65,84.97,57.37,52.17,78.22,6.6,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,33.0,9.0,True,12ccd0e6c9ef12c7d3c2eab8266cd32c0b2f7683,False,False
🔶,jondurbin/airoboros-33b-gpt4-m2.0,57.16,64.68,84.95,57.77,47.44,77.74,10.39,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,8bit,False,cc-by-nc-4.0,33.0,6.0,True,57bd88e24d603dc4bbe4016ed0871db7c0e529d5,False,False
🔶,jisukim8873/mistral-7B-alpaca-case-0-2,57.15,61.69,81.74,60.0,43.56,76.95,18.95,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,d8cdb077e67fe9de8fec3ce47b79dab8e1bacf95,False,False
🔶,Sao10K/BrainDerp3,57.13,60.92,82.1,58.91,57.18,75.61,8.04,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,13.02,1.0,True,0b575b9245406cca92942ce2ababb5b868109bed,False,False
🔶,Doctor-Shotgun/CalliopeDS-v2-L2-13B,57.12,62.8,84.14,56.14,51.06,76.01,12.59,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,True,llama2,13.02,0.0,True,e63d24870c840d47e82b029e7f405baa10ad9ea4,False,False
🔶,gradientputri/MegaMix-S1-13B,57.12,62.46,83.65,57.88,44.52,75.85,18.35,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,True,llama2,13.02,0.0,True,afca2c9488cf8738faec4db6721f6a4c755a5d81,False,False
🔶,Sao10K/BrainDerp,57.11,60.75,82.1,58.81,56.9,75.85,8.26,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,13.02,0.0,True,ba21a7ed5458b3fa2b05ce6aab431acd1f857516,False,False
🔶,ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,57.1,59.73,81.72,60.47,53.77,74.66,12.28,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,ced2cbdeef8389e754a8f4895b70032580d54b99,False,False
🔶,Undi95/ReMM-v2.2-L2-13B,57.1,61.26,84.16,56.22,51.35,75.61,14.03,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,4.0,True,d55031fbcd41d749bc0c0ffbcd85636718d373b6,False,False
🔶,IkariDev/Athena-v3,57.09,61.69,84.34,57.87,51.26,75.77,11.6,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,0.0,13.0,True,5e4024b6694bb13f1a81ce4277ac9141f0b226df,False,True
🔶,FelixChao/vicuna-33b-coder,57.07,60.41,83.27,57.17,51.79,76.87,12.89,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,33.0,3.0,True,67f6e669d7a15c1104a1478057f3752a503e83c0,False,False
🔶,Undi95/Emerhyst-20B,57.07,61.69,84.98,56.98,54.16,76.09,8.49,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,19.99,38.0,True,e4c23af4f5dd88cb27d245e2bfc3b81db652632c,False,False
🔶,DangFutures/BIG_DANG_BOT,57.06,60.32,82.02,70.02,49.07,80.9,0.0,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,False,apache-2.0,46.7,0.0,False,b97d945f17c9e41dbe1809210c8f818b1cecca7c,False,False
🔶,Josephgflowers/Cinder-Phi-2-Test-1,57.05,57.34,72.6,50.81,45.23,73.8,42.53,fine-tuned on domain-specific datasets,PhiForCausalLM,Original,float16,False,mit,2.78,0.0,True,ed772a328dc0461fc3feb7b92fa1f8dcfedfa1cb,False,False
🔶,stabilityai/StableBeluga-13B,57.05,62.03,82.27,57.71,49.61,76.87,13.8,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,,13.02,114.0,False,1d6eef4cc2b73f39600a568803ad8183f2da4514,False,False
🔶,circulus/Llama-2-13b-orca-v1,57.05,62.03,82.27,57.71,49.61,76.87,13.8,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,mit,13.0,5.0,True,e77ec90f432bdffa210a0e4310d117e5d1c662df,False,False
🟢,Qwen/Qwen1.5-4B,57.05,48.46,71.58,56.52,47.27,66.22,52.24,pretrained,Qwen2ForCausalLM,Original,bfloat16,False,other,3.95,23.0,True,294dbdee5dacecc52c9cc6ba2dba4084addc7b2c,False,True
🔶,TeeZee/GALAXY_v03_slimorca_1_epoch_50k,57.04,62.71,84.58,65.17,47.3,82.48,0.0,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,15.97,0.0,True,f7936789f085412986be9657da573028d8416397,False,False
🔶,jondurbin/airoboros-33b-gpt4-m2.0,57.03,63.4,85.19,57.46,48.15,78.37,9.63,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,33.0,6.0,True,84a89dee5bf3447079f115a3ef4d58ef8f924798,False,False
🤝,BioMistral/BioMistral-7B-DARE,57.03,58.28,79.87,57.34,55.61,76.09,15.01,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,12.0,True,fc46b30e1cf0fe45280fd9b0a948fd9344b31112,False,False
🔶,Weyaxi/zephyr-beta-Nebula-v2-7B,57.03,56.57,82.53,56.4,58.68,70.48,17.51,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,0.0,True,226caedb50a12730232c1f8fe9c96b6dcf818ba7,False,False
🔶,jondurbin/airoboros-33b-gpt4-2.0,57.02,63.91,85.67,57.95,45.54,77.98,11.07,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,33.0,6.0,True,a4e1b721add286900c5a6f529c3d7a3e0049b2e0,False,False
🔶,MisterRid/wendigo-14b-alpha2,57.02,56.66,77.19,58.0,53.71,73.64,22.9,fine-tuned on domain-specific datasets,Unknown,Original,bfloat16,False,?,14.22,0.0,False,f8332eddcb7f8ab2b5195486d4b508c4628992f6,False,False
🔶,WebraftAI/synapsellm-7b-mistral-v0.3-preview,57.01,53.84,74.86,54.81,55.03,74.59,28.96,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,4e509275c5e51bee6e82c2c15082a6cc50d87b5b,False,False
🔶,MisterRid/wendigo-14b-alpha1,57.01,56.48,77.2,57.83,53.76,73.01,23.81,fine-tuned on domain-specific datasets,Unknown,Original,bfloat16,False,?,14.22,0.0,False,0024ee75d8ed5d9373ff42df72c21f3217ba9d2e,False,False
🔶,jondurbin/airoboros-33b-gpt4-2.0,57.01,63.82,85.65,58.44,45.57,77.9,10.69,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,33.0,6.0,True,ddc598f492f5098a8e308f51a82834f98f29a4ce,False,False
💬,yulan-team/YuLan-Chat-2-13b-fp16,57.01,59.04,80.66,56.72,52.18,79.64,13.8,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,mit,13.0,14.0,True,2d439187efd6edd91a0c0146f08dff52d92aa7bc,False,False
🔶,kno10/ende-chat-0.0.4,57.01,56.57,79.63,55.22,51.19,75.93,23.5,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,f2ce69509c3d0f461818aa81d90b569df423b207,False,False
🔶,Undi95/ReMM-v2-L2-13B,56.99,61.95,84.0,56.14,50.81,75.85,13.19,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,3.0,True,bc42c77f88482c37c72c85c66135e99972bbca1b,False,False
💬,inswave/AISquare-Instruct-llama2-koen-13b-v0.9.24,56.98,55.63,81.35,51.76,53.0,76.95,23.2,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.16,0.0,True,0302553f7fe0a74925719b197b9c119aad0586c2,False,False
🔶,TheBloke/OpenOrca-Platypus2-13B-GPTQ,56.98,62.54,82.67,58.56,51.93,76.8,9.4,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,GPTQ,False,cc-by-nc-4.0,16.24,49.0,True,0fa9a56066656fbc94e3ec088bc900fd1d4d38e8,False,False
💬,PulsarAI/GenAI-Nova-13B,56.98,62.29,83.27,59.47,51.79,77.35,7.73,"chat models (RLHF, DPO, IFT, ...)",Unknown,Original,float16,False,?,13.02,0.0,False,0ce62a64ca53cd5feb18f523a96dd3be86e6513d,False,False
🔶,jondurbin/airoboros-33b-gpt4-m2.0,56.97,63.14,85.19,57.28,48.07,78.45,9.7,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,33.0,6.0,True,96af3dc6c9f2248d964cf14cef6e5f2e5894583a,False,False
?,huggyllama/llama-30b,56.96,61.43,84.73,58.45,42.27,80.03,14.86,,LlamaForCausalLM,Original,float16,False,other,32.53,42.0,True,2b1edcdb3c7ced7bce6c1aa75c94545777c3118b,False,False
🔶,Radiantloom/radintloom-mistral-7b-fusion-dpo,56.95,63.14,83.68,63.42,51.14,79.95,0.38,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,8f11b7ed191f06add8c7de1a830505289db0afde,False,False
🟢,huggingface/llama-30b,56.94,61.26,84.73,58.47,42.27,80.03,14.86,pretrained,LlamaForCausalLM,Original,float16,False,other,32.53,0.0,False,13c77caa472bfa79d4f3f0ec82cbdc9dd88e5d22,False,False
🔶,Yhyu13/llama-30B-hf-openassitant,56.94,61.26,84.73,58.47,42.27,80.03,14.86,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,30.0,1.0,True,fba493af11a73cf5a2ee7857dd7aecb98c659dc4,False,False
🟢,hon9kon9ize/CantoneseLLM-6B-preview202402,56.93,55.63,75.8,63.07,42.26,74.11,30.71,pretrained,LlamaForCausalLM,Original,bfloat16,False,other,6.06,7.0,True,71474831ebfa33d02692e22f2ed7267d534f9e06,False,False
🔶,Undi95/UndiMix-v4-13B,56.93,61.95,83.88,56.9,48.96,76.16,13.72,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,4.0,True,6dd97c74cfe1d22432d5c993814e230f333ba401,False,False
💬,rombodawg/LosslessMegaCoder-llama2-13b-mini,56.92,60.58,81.26,57.92,48.89,76.95,15.92,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,llama2,13.0,11.0,True,1f5609ffd40bc3af2dcbc5c88e9312d47a73c4b4,False,False
🔶,andreaskoepf/llama2-13b-megacode2_min100,56.92,60.58,81.26,57.92,48.89,76.95,15.92,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,13.0,1.0,False,b38d1b53c358a0313c69bcceebe97628327ada82,False,False
🔶,circulus/Llama-2-13b-orca-v1,56.91,62.2,82.32,57.67,49.6,76.8,12.89,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,mit,13.0,5.0,True,e77ec90f432bdffa210a0e4310d117e5d1c662df,False,False
🔶,lemon-mint/gemma-7b-openhermes-v0.80,56.91,54.35,73.69,56.2,47.06,66.77,43.37,fine-tuned on domain-specific datasets,GemmaForCausalLM,Original,bfloat16,False,gemma,8.54,1.0,False,fbce2798498af7d125ce7968768738221de151f9,False,False
🔶,Undi95/Emerald-13B,56.89,62.29,83.69,55.7,50.94,75.93,12.81,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.0,2.0,True,f7696299463d8ec402a4e1eb001f3a447f1c5552,False,False
💬,lamhieu/ghost-7b-v0.9.0,56.89,53.07,77.93,55.09,47.79,73.72,33.74,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,False,78441c9cec230d2dc76a746854078fa776a019c6,False,False
🔶,Undi95/ReMM-Mistral-13B,56.89,62.2,83.82,55.43,53.32,74.51,12.05,fine-tuned on domain-specific datasets,Unknown,Original,float16,False,?,12.85,0.0,False,a5ef9385d9430a81778183d71b58eb2b869d6a7e,False,False
🔶,HenryJJ/Instruct_Yi-6B_Dolly15K,56.85,54.86,75.87,63.37,42.84,74.9,29.26,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,6.06,0.0,True,2c0644cf206bdc94f5e6db2aca63129af0fa4a45,False,False
🔶,TheBloke/OpenOrcaxOpenChat-Preview2-13B-GPTQ,56.84,61.26,82.14,57.85,50.22,77.11,12.43,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,GPTQ,False,llama2,16.24,20.0,True,ec9eb4f471b5bb6a7e5e505369628586c0c72252,False,False
🔶,kno10/ende-chat-0.0.4,56.83,56.14,79.62,54.89,51.61,75.3,23.43,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,f2ce69509c3d0f461818aa81d90b569df423b207,False,False
🔶,dsvv-cair/alpaca-cleaned-llama-30b-bf16,56.82,61.77,85.06,57.52,51.49,77.35,7.73,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,,30.0,3.0,False,2424b6346e9e8fd749b9a6734f5d7125b5926daf,False,False
🔶,Danielbrdz/Barcenas-Orca-2-7b,56.81,55.2,77.08,56.02,43.72,75.53,33.28,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,6.74,1.0,True,dd4cc9f2be4fb8acb30b5bc79ad759ae2906300c,False,False
🔶,ArianAskari/SOLID_SFT-WoDPO-WoMixQ,56.8,59.64,81.69,60.1,55.25,74.66,9.48,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,5a31a78c59bd70f66ffafb91f2a507286354fb72,False,False
🔶,TIGER-Lab/TIGERScore-13B,56.79,59.04,82.79,55.07,40.38,74.74,28.73,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,mit,13.02,12.0,True,4a71ce15f9af6fd25b0cde1612e56a7ee589c3e8,False,False
🔶,XuanXuanXuanXuan/Llama-2-13b-hf-gpt-4-80k,56.79,60.84,79.88,55.56,49.83,72.85,21.76,fine-tuned on domain-specific datasets,?,Adapter,float16,False,apache-2.0,13.0,0.0,False,31b6e9f91da1c9a95a9ec7a480de73641b1afaf4,False,False
🔶,Locutusque/Orca-2-13b-SFT_v5,56.77,59.22,80.09,60.19,51.84,80.9,8.42,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,other,13.02,1.0,True,3c1b86e1a4e89119e373198ff018838988cc74d0,False,False
💬,yeontaek/Platypus2xOpenOrca-13B-IA3-v3,56.74,62.54,82.1,58.67,46.96,77.82,12.36,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,,13.0,0.0,False,17493c1f2e4620a44d7947edad0386d338e805ce,False,False
💬,TFLai/Orca-Nova-13B,56.72,62.37,82.47,57.44,45.97,77.58,14.48,"chat models (RLHF, DPO, IFT, ...)",Unknown,Original,float16,False,?,13.02,0.0,False,5a6c3686749ecb76971a915403da8c07a98078a6,False,False
🔶,Undi95/ReMM-v2.1-L2-13B,56.71,61.43,83.92,55.95,50.3,75.93,12.74,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,1.0,True,e6b5ac97f74355cb281a621261debe5720fb4da2,False,False
🔶,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,56.7,62.71,81.99,57.51,47.45,76.8,13.72,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,102.0,True,26d1bc5c54c1f60a5de0b1ed4d0b16f285aee230,False,False
🟢,01-ai/Yi-6B-200K,56.69,53.58,75.58,64.65,41.74,74.27,30.33,pretrained,LlamaForCausalLM,Original,float16,False,other,6.06,168.0,True,6cb672ed8441c35d043dd3cda448466daa3b38b1,False,True
🔶,Changgil/k2s3_test_24001,56.68,55.72,80.69,54.6,43.57,75.69,29.8,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,llama2,13.02,0.0,True,cceec03919d9a8e47dd98e4b2468503d52d37ef9,False,False
🔶,Changgil/k2s3_test_24001,56.67,55.8,80.59,54.42,43.62,75.69,29.87,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,13.02,0.0,True,60f5918773275ff16e43a945a24dd4ad8ddfeacf,False,False
🔶,alnrg2arg/test3_sft_4bit,56.66,61.52,83.89,64.79,47.83,81.93,0.0,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,1.0,True,45e1dcfb08c47a66c602aa5a3b37229ef69dcf41,False,False
